مرحبًا.	Hi.
من الذي ربح؟	Who won?
لم لا؟	Why not?
لما لا؟	Why not?
استمتع بوقتك.	Have fun.
أسرعا.	Hurry up.
لقد نسيت.	I forgot.
فهمتُهُ.	I got it.
فهمتُها.	I got it.
فَهمتُ ذلك.	I got it.
أستخدمه.	I use it.
سأدفع أنا.	I'll pay.
أنا مشغول.	I'm busy.
إنني مشغول.	I'm busy.
أشعر بالبرد.	I'm cold.
أنا حُرّ.	I'm free.
أنا هنا	I'm here.
لقد عدت إلى البيت	I'm home.
أنا فقير.	I'm poor.
أنا ثري.	I'm rich.
هذا مؤلم	It hurts.
هي تمشي.	It works.
انها جافه	It's dry.
الجو حار	It's hot.
إنه جديد	It's new.
هيا بنا!	Let's go!
هيا لنذهب!	Let's go!
لنذهب.	Let's go!
هيا بنا.	Let's go.
هيا بنا نذهب.	Let's go.
اِنتبه!	Look out!
إحذر!	Look out!
انتبه	Look out!
تكلم!	Speak up!
قف!	Stand up!
رائع!	Terrific!
ممتاز!	Terrific!
توم مات.	Tom died.
توفي توم.	Tom died.
لقد غادر توم.	Tom left.
لقد كذِبَ توم.	Tom lied.
لقد خَسِرَ توم.	Tom lost.
توم استقال.	Tom quit.
استقال توم	Tom quit.
هاك، جرب.	Try some.
من أنا؟	Who am I?
من مات؟	Who died?
من توفي؟	Who died?
من بعدك	After you.
العصافير تطير.	Birds fly.
تحلق الطيور.	Birds fly.
يُباركك.	Bless you.
اِهدأ.	Calm down.
هل نستطيع أن نذهب؟	Can we go?
تعال هنا.	Come here.
تعال إلى هنا.	Come here.
اقتربي.	Come here.
تعال إلى منزلي.	Come home.
هل أنا فُزت؟	Did I win?
افعل ذلك الآن.	Do it now.
إياك و الكذب.	Don't lie.
عفواً.	Excuse me.
أعذرني	Excuse me.
رائع!	Fantastic!
انسَ الأمر.	Forget it!
انسَ ذلك	Forget it!
انسَ الأمر.	Forget it.
انسَ ذلك	Forget it.
انسني.	Forget me.
أُدخُلْ.	Go inside.
اذهب إلى النوم	Go to bed.
بالتوفيق.	Good luck.
ليلة سعيدة.	Goodnight.
مساء الخير	Goodnight.
لا تلمسني.	Hands off.
إنه مريض.	He is ill.
هو مريض	He is ill.
كيف توم؟	How's Tom?
كيف حال توم؟	How's Tom?
أشعر بالبرد.	I am cold.
أنا هنا	I am here.
أنا بخير.	I am okay.
أنا متأكد.	I am sure.
آمل ذلك.	I hope so.
ضحكت.	I laughed.
هذا يعجبني.	I like it.
أنا أحبه.	I love it.
أنا أرى توم	I see Tom.
أنا ولد.	I'm a boy.
أنا ولد.	I'm a kid.
أنا رجلٌ.	I'm a man.
أنا لوحدي.	I'm alone.
مللت.	I'm bored.
لقد كُسِرت	I'm broke.
أنا سعيد	I'm happy.
انا محظوظ.	I'm lucky.
أنا مسكين.	I'm needy.
أنا مستعد.	I'm ready.
أنا مستعدة.	I'm ready.
أنا آسف.	I'm sorry.
أنا متأسف.	I'm sorry.
أتأسف.	I'm sorry.
أنا آسف	I'm sorry.
أنا متعب.	I'm tired.
هل هذا جديد؟	Is it new?
الجو بارد.	It's cold.
إنها ساعة متأخرة.	It's late.
دَعني أذهب.	Let me go.
اسمع	Listen up.
انظر خلفك!	Look back!
طبعاً!	Of course!
بالطبع.	Of course.
طبعاً.	Of course.
بالتأكيد.	Of course.
طبعاً!	Of course.
المعذرة؟	Pardon me?
أأنت جاد؟	Seriously?
هي تمشي.	She walks.
ابتعد عني	Stay away.
حافظي على جسم نحيف.	Stay thin.
إبقي نحيفة.	Stay thin.
حافظ على نحافتك.	Stay thin.
أوقف ذلك.	Stop that!
أوقف ذلك.	Stop that.
أوقفهم.	Stop them.
انتبه!	Take care!
مع السلامة.	Take care.
اعتن بنفسك.	Take care.
اعتني بنفسك	Take care.
شكراً لك	Thank you.
ثم ماذا؟	Then what?
ماذا بعد ذلك؟	Then what?
لقد تحرك توم.	Tom moved.
لَوَحَ توم.	Tom waved.
انتبه	Watch out!
نشعر بالحرارة	We're hot.
جيد	Well done!
ما الجديد؟	What's up?
من يهمّه؟	Who cares?
مَن؟	Who is it?
من يدري؟	Who knows?
من يعلم؟	Who knows?
مذهل.	Wonderful!
ممتاز!	Wonderful!
يا أحمق!	You idiot!
يا غبي!	You idiot!
لقد حاولت وسعك.	You tried.
ليركب الجميع.	All aboard!
ليركب الكل.	All aboard!
هل هذا واضح؟	Am I clear?
هل أنا مخطئ؟	Am I wrong?
كن حذرا.	Be careful.
كُن جدياً.	Be serious.
العصافير تغرّد	Birds sing.
الى القاع .	Bottoms up!
برشفة واحدة .	Bottoms up!
أحضر الطعام.	Bring food.
أحضِر المُساعدة.	Bring help.
أحضر الخمر.	Bring wine.
أحضر النبيذ.	Bring wine.
هل أستطيع أن أبقى؟	Can I stay?
احمل هذا.	Carry this.
إفحص ذلك.	Check that.
إفحص هذا.	Check this.
تعالَ مُجدداً.	Come again.
تعالَ وحدك.	Come alone.
تعالَ بمفردك.	Come alone.
تعال معنا.	Come along.
هيا ادخل	Come on in!
هيا ادخل	Come on in.
تعال بسرعة.	Come quick!
تعال إلي	Come to me.
بالتأكيد	Definitely!
قطعاً	Definitely!
لا تتحرك.	Don't move.
املئها.	Fill it up.
إبحث عن عمل	Find a job.
اتبعه.	Follow him.
اذهب إلى العمل	Go to work.
ليلة سعيدة.	Good night.
كن مؤمنا.	Have faith.
إنه لطيف.	He is nice.
إنه مريض.	He is sick.
هو سعيد	He's happy.
هو ذكي.	He's smart.
إنه ذكي.	He's smart.
ها هو هنا	Here he is!
ها هي.	Here it is.
أنا ولد.	I am a boy.
أنا ذاهب.	I am going.
أنا سعيد	I am happy.
يمكنني القفز.	I can jump.
أستطيع القفز.	I can jump.
يمكنني أن أقفز.	I can jump.
يمكنني السباحة.	I can swim.
بإمكاني أن أسبح.	I can swim.
فعلت هذا	I did that.
سآكل هنا.	I eat here.
أنا أحسدها.	I envy her.
شعرت بالحزن.	I felt sad.
أنا أسمعك.	I hear you.
أعرِفها.	I know her.
أنا أعرفها	I know her.
أعرفه.	I know him.
أنا أعرفه	I know him.
أحبك.	I like you.
تعجبني.	I like you.
أحبها.	I love her.
أنا أحبها	I love her.
أنا أحبك.	I love you.
أحبك.	I love you.
احبك.	I love you.
انا احبك	I love you.
أنا أحبك	I love you.
قصدت ذلك.	I meant it.
أشتاق إليه.	I miss him.
اشتقت إليك.	I miss you.
افتقدتك.	I miss you.
أحتاج إليك.	I need you.
أحتاجك.	I need you.
استقلت.	I resigned.
لقد رأيت ذلك	I saw that.
أعتقد ذلك.	I think so.
أظن ذلك.	I think so.
أريدك.	I want you.
أنا بخير الآن.	I'm OK now.
أنا بطل.	I'm a hero.
سآتي.	I'm coming.
أنا آتٍ	I'm coming.
أشعر بالجوع.	I'm hungry!
لست على ما يرام.	I'm not OK.
أنا خائف.	I'm scared.
أنا نعسان!	I'm sleepy!
أنا بدين جداً.	I'm so fat.
أنا شديد البدانة.	I'm so fat.
أنا سمين جدا.	I'm so fat.
لست متأكّدا.	I'm unsure.
هل هذا هو الحب؟	Is it love?
الحساب عليّ.	It's on me.
دَع توم يذهب.	Let Tom go.
دعه يذهب!	Let him go!
دعني أخرُج!	Let me out!
انظر مرة أخرى	Look again.
انظر إليّ.	Look at me.
انظر إلي	Look at me.
الحب يؤلم.	Love hurts.
لا عليك!	Never mind!
لا داعي للقلق	Never mind!
لا مشكلة!	No problem!
مرة أخرى.	Once again.
مجدداً.	Once again.
سخيف	Ridiculous!
كلمني!	Talk to me!
هذا يؤلم.	That hurts.
ذاك مبلل.	That's wet.
توم كبير	Tom is big.
توم إبتسم.	Tom smiled.
توم تثاءب.	Tom yawned.
توم مات.	Tom's died.
توم هنا	Tom's here.
نحن رجال.	We are men.
إننا رجال.	We are men.
إننا صبية.	We're boys.
لقد تأخرنا.	We're late.
ما الأمر؟	What gives?
ما الجديد؟	What's new?
علومك؟	What's new?
من اتّصل؟	Who called?
الخشب يحترق.	Wood burns.
يمكنك الذهاب.	You may go.
هل أصيب اي احد	Anyone hurt?
هل أنت غاضب؟	Are you mad?
هل أنتِ حزينة؟	Are you sad?
كُن مُبدِعاً.	Be creative.
كُن خلاقاً.	Be creative.
كُن حَذِراً.	Be discreet.
كُن ودوداً.	Be friendly.
كُن رحيماً.	Be merciful.
كُن مُستعداً.	Be prepared.
كن مستعداً	Be prepared.
كونوا مستعدين	Be prepared.
كُن عديم الرحمة.	Be ruthless.
كُن معقول.	Be sensible.
كُن محدداً.	Be specific.
كُن مُتسامحاً.	Be tolerant.
توخى الحذر.	Be vigilant.
كن مؤدبًا.	Behave well.
تصرف بأدب	Behave well.
نادني أبي.	Call me dad.
راجع مُجدداً.	Check again.
إفحص مُجدداً.	Check again.
تحقق مجدداً.	Check again.
إقتَرِب.	Come closer.
تعال لتأخذنا.	Come get us.
تعالَ بالداخل.	Come inside.
أدخل	Come inside.
تفضل بالدخول	Come inside.
إتصل بتوم.	Contact Tom.
هل مات توم؟	Did Tom die?
افعل كما أقول	Do as I say.
لا تُجادِل.	Don't argue.
لا تَغِش.	Don't cheat.
لا تفعل ذلك!	Don't do it!
لا تقلق.	Don't worry.
لا عليك.	Don't worry.
قف في الدور.	Get in line.
إذهب وابحث عن طوم.	Go find Tom.
اذهب مستقيم	Go straight.
استرح.	Have a seat.
بإمكانه المجيء	He can come.
إنه وحيد.	He is alone.
إنه وحده.	He is alone.
هو سعيد	He is happy.
هو يحبّني.	He loves me.
إنه قوي.	He's strong.
مرحبا مجددا	Hello again.
ها نحن ذا	Here we are!
ها قد وصلنا.	Here we are.
ها نحن هنا	Here we are.
كيف حالك؟	How are you?
كيفَ حالك؟	How are you?
كيفَ حالِك؟	How are you?
ذهبت أيضاً.	I also went.
أنا آتٍ.	I am coming.
أنا آتٍ	I am coming.
أنا أعتذر	I apologize.
حفرت حفرة.	I dug a pit.
أشعر بالبرد.	I feel cold.
أكره الحليب.	I hate milk.
أحب موسيقى الجاز.	I like jazz.
أحب الرز	I like rice.
أعيش هنا.	I live here.
أنا أسكن هنا	I live here.
أعشق موسيقى الروك.	I love rock.
عليّ الاختباء.	I must hide.
أحتاج وقتا.	I need time.
قلت ذلك.	I said that.
أثق بك.	I trust you.
أنا أثق فيك.	I trust you.
أنا أثق بك.	I trust you.
أريد المزيد	I want more.
كنت مخطئاً.	I was wrong.
سأحضر.	I'll attend.
سأقرر.	I'll decide.
أنا خباز	I'm a baker.
أنا ولد.	I'm a child.
أنا امرأةٌ.	I'm a woman.
إني في المنزل.	I'm at home.
أنا في البيت.	I'm at home.
أنا في البيت	I'm at home.
أنا متزوج.	I'm married.
لست مغفّلا.	I'm no fool.
أنا أقرأ	I'm reading.
أنا جاد.	I'm serious.
أنا لا أمزح.	I'm serious.
أنا عطشان.	I'm thirsty.
أنا عطش.	I'm thirsty.
أنا أشعر بالعطش.	I'm thirsty.
هل توم هنا؟	Is Tom here?
هل الجو ممطر؟	Is it rainy?
هل الجو عاصف؟	Is it windy?
أهذا كل شيء؟	Is that all?
لا يمكن أن يحصل ذلك!	It can't be!
من الممكن أن تمطر.	It may rain.
ربما ستمطر.	It may rain.
قد ينزل الثلج	It may snow.
الوقت كان متأخرا.	It was late.
اليوم الإثنين.	It's Monday.
إنه يوم الاثنين	It's Monday.
إن ذلك عملي.	It's my job.
هذا واجبي.	It's my job.
لنبدأ.	Let's begin.
لنحتفل!	Let's party.
دعونا ننقسم.	Let's split.
دعنا ننقسم.	Let's split.
دعينا ننقسم.	Let's split.
لنبدأ.	Let's start!
انظر إليه	Look at him.
شكراً جزيلاً.	Many thanks.
شكراً جزيلاً!	Many thanks.
لم يأتي أحد.	No one came.
لم يأتي أحد.	Nobody came.
حسناً. أنا موافق.	OK. I agree.
من فضلك تعال.	Please come.
تعال من فضلك	Please come.
ضعها أرضاً.	Put it down.
سجّل هذا.	Record this.
هي سعيدة	She's happy.
ألق نظر.	Take a look.
استرِح.	Take a rest.
هكذا هي الحياة.	That's life.
التلفاز مفتوح.	The TV's on.
قطب توم حاجبيه.	Tom frowned.
توم هنا	Tom is here.
توقف توم.	Tom stopped.
توم سعيد	Tom's happy.
انتظرني.	Wait for me.
نحن نعرفه	We know him.
نحن سعداء	We're happy.
يا له من فريق!	What a team!
ما الجديد؟	What is new?
ما ذلك؟	What's that?
ما هذا؟	What's this?
أين توم؟	Where's Tom?
من أنت؟	Who are you?
من أنتِ؟	Who are you?
من رسم ذلك؟	Who drew it?
من رسمها؟	Who drew it?
من هناك؟	Who's there?
هل ستذهب؟	Will you go?
نعم أنا أعلم	Yes, I know.
عليك أن تذهب.	You must go.
عليك الرحيل.	You must go.
عليك الذهاب.	You must go.
يتوجّب عليك الذهاب.	You must go.
أنت هنا	You're here.
أنت غني	You're rich.
أاصيب اي احد؟	Anybody hurt?
هل من جديد؟	Anything new?
هل أنت متأكد؟	Are you sure?
أأنت متأكد من ذلك؟	Are you sure?
أحضر النُسخة الإحتياطية.	Bring backup.
أدخله.	Bring him in.
هل يمكنك القدوم؟	Can you come?
أيمكنك المجيء؟	Can you come?
هل بإمكانك السباحة؟	Can you swim?
هل بإمكانك الكلام؟	Can you talk?
تحقق حولها.	Check around.
تعالَ إلى الأمام.	Come forward.
تَقَدَم.	Come forward.
تعالَ بسرعة!	Come quickly!
تعال معي.	Come with me.
تعال معنا.	Come with us.
هدّء من روعك.	Cool it down.
هل اتصلت؟	Did you call?
هل تدخن؟	Do you smoke?
قد بحذر.	Drive safely.
سُق بحذر	Drive safely.
جلس الجميع.	Everyone sat.
لا تخف من أي شيء	Fear nothing.
إطمئن	Fear nothing.
اعثر علي القطه	Find the cat.
سمك من فضلك.	Fish, please.
مساء الخير.	Good evening.
صباح الخير	Good morning.
أمسك يدي.	Grab my hand.
غضب.	He got angry.
إنه يملك سيارة.	He has a car.
لديه سيارة.	He has a car.
لديه سيارة	He has a car.
لديه كلب .	He has a dog.
إنه يأكل.	He is eating.
هو تركني أذهب.	He let me go.
هو تركنا نذهب.	He let us go.
إنه يحبها.	He loves her.
يحبها.	He loves her.
هو يحبها	He loves her.
لقد سخر منّي.	He mocked me.
كان شجاعاً.	He was brave.
كم هذا مزعج!	How annoying!
أنا صيني	I am Chinese.
إني في المنزل.	I am at home.
أنا في البيت.	I am at home.
أنا في البيت	I am at home.
أود أن أعرف.	I am curious.
أكلت الكافيار.	I ate caviar.
اكلت كافيار.	I ate caviar.
لا أستطيع الكلام.	I can't talk.
اتّصلت ب‍ 911.	I dialed 911.
آمُلُ ذلك.	I do hope so.
لا أهتم.	I don't care.
لا يهمني.	I don't care.
الأمر لا يعنيني.	I don't care.
لا آبه	I don't care.
لا أعرف‏.‏‏	I don't know.
لا أعرف.	I don't know.
لا أعلم.	I don't know.
لا أدري.	I don't know.
لا اعرف.	I don't know.
لا أعلم	I don't know.
أشعر بالحكة.	I feel itchy.
أشعر بالإرهاق.	I feel tired.
كانت لدي شكوك.	I had doubts.
أملك سيارةً.	I have a car.
لدي سيارة	I have a car.
لدي قلم.	I have a pen.
عندي قلم.	I have a pen.
يجب أن أذهب.	I have to go.
احتضنتها.	I hugged her.
احب البنات	I like girls.
أحب الرحلات.	I love trips.
لقد أعددت هلاما.	I made jello.
اشتقت لك.	I missed you.
نمت متأخّرا.	I slept late.
أنا أفهم	I understand.
كنت غائبا.	I was absent.
كنت جائعاً.	I was hungry.
لن أخسر!	I won't lose!
لن أُهزم!	I won't lose!
سوف أسأله	I'll ask him.
سأقاضيك.	I'll sue you.
أنا أمّ.	I'm a mother.
أنا مشغول الأن.	I'm busy now.
أنا مشغولة الأن.	I'm busy now.
انا محتار.	I'm confused.
أنا متفرغ الآن	I'm free now.
أشعر بالبرد.	I'm freezing.
أنا جديد هنا	I'm new here.
لست مشغولاً.	I'm not busy.
أنا مشغول.	I'm not free.
لست نحيفا.	I'm not thin.
أنا حامل.	I'm pregnant.
أنا سعيد جداً.	I'm so happy.
أفكر.	I'm thinking.
أستخدمه.	I'm using it.
الحديد صلب.	Iron is hard.
هل توم سعيد؟	Is Tom happy?
هل هذا هو الحب؟	Is this love?
ليست جديدة.	It isn't new.
إنه المساء	It was night.
حان وقت النوم.	It's bedtime.
إنها تمطر.	It's raining.
إنه مظلم جداً.	It's so dark.
هل توم كبير؟	It's too big.
إنه ساخن جداً.	It's too hot.
إنها ساخنة جداً.	It's too hot.
الجو حار جداً.	It's too hot.
إن الطقس حار للغاية.	It's too hot.
إنها حارة جداً	It's too hot.
الجو حار جدا	It's too hot.
الجو حار جداً	It's too hot.
السيدات أولاً.	Ladies first.
دعني أفعلها	Let me do it.
استمع إلي	Listen to me.
استمع الي	Listen to me.
أُنظر إلى هذا!	Look at that!
أُنظر إلى هذا.	Look at this.
دخلت ماري.	Mary came in.
أتت ماري	Mary came in.
ذِراعي يُؤْلِمُني	My arm hurts.
عيناي تؤلمانني.	My eyes hurt.
أقدامي تؤلمني.	My feet hurt.
لا أحد يعلم.	No one knows.
لا أحد يعلم	No one knows.
العب معي.	Play with me.
إذاً أراك لاحقاً.	See you then.
عار عليك!	Shame on you!
هي سعيدة	She is happy.
ربما ستأتي.	She may come.
ابق في البيت.	Stay at home.
كف عن التحديق.	Stop gawking.
كف عن التحديق.	Stop staring.
توقف عن الكلام	Stop talking.
أوقف السيارة	Stop the car.
توقف عن الصراخ!	Stop yelling!
توقفي عن الصراخ!	Stop yelling!
كف عن الصراخ!	Stop yelling!
أحلاماً سعيدة!	Sweet dreams!
على رِسْلِك.	Take it easy.
لا تحمل هماً.	Take it easy.
أخبرنا أكثر	Tell us more.
شكرا مرة أخرى	Thanks again.
كان ذلك ممتعًا.	That was fun.
هذا عظيم!	That's great!
هذا صحيح.	That's right.
هذه لنا	This is ours.
إن ذلك صحيح.	This is true.
توم لديه أطفال.	Tom has kids.
توم سعيد	Tom is happy.
نجا توم.	Tom survived.
إن توم شديد.	Tom's strict.
حاول مرة أخرى.	Try it again.
حاول مجدداً.	Try it again.
شيء لا يُصدق!	Unbelievable!
نحن عرب.	We are Arabs.
نحن مسرورون.	We are happy.
إنا سعداء.	We are happy.
نحن سعداء	We are happy.
نحن نحتاج إلى مساعدة	We need help.
نحن نحتاج إلي المطر.	We need rain.
نجحنا.	We succeeded.
نريد لحما.	We want meat.
نحن في حرب.	We're at war.
نحن آتون.	We're coming.
نحن آتون	We're coming.
مرحباً بك في المنزل.	Welcome home.
ما المشكلة؟	What's wrong?
ما الخطب؟	What's wrong?
أين نحن؟	Where are we?
أين توم؟	Where is Tom?
لم الإستسلام الآن؟	Why quit now?
ألن تذهب؟	Won't you go?
إنّك غنيّ.	You are rich.
أنت غنيّ.	You are rich.
أنت غني	You are rich.
اذهب أنت أولاً.	You go first.
أنت تعلم كيف	You know how.
إنك مجنون.	You're crazy.
أنت محقّ.	You're right.
عندك حقّ.	You're right.
ألديكم أي أسئلة؟	Any questions?
هل أنت وحدك؟	Are you alone?
هل أنت مجنون؟	Are you crazy?
هل أنت سعيد؟	Are you happy?
هل أنت سعيد	Are you happy?
هل أنت جاهز؟	Are you ready?
كُن مُحترماً.	Be respectful.
كُن داعماً.	Be supportive.
احضره الى هنا.	Bring it here.
أحضر المفتاح.	Bring the key.
هل تستطيع أن تقود سيارة؟	Can you drive?
تعالَ غداً.	Come tomorrow.
لا تكن شرّيرا.	Don't be evil.
الجميع يموت.	Everyone dies.
"كل من عليها فانٍ".	Everyone dies.
الأزهار تتفتح.	Flowers bloom.
اقلي لي بيضة.	Fry me an egg.
اذهب خلفي.	Get behind me.
باركك الله .	God bless you!
إنه بريطاني.	He is British.
قبّلها.	He kissed her.
هو تركَ توم يذهب.	He let Tom go.
كذب علينا.	He lied to us.
إنه يبيع السيارات.	He sells cars.
أطلق عليّ الرّصاص.	He shot at me.
إنه غاضب.	He's outraged.
إنهُ شاب جداً.	He's so young.
إنهُ صغير جداً.	He's so young.
إنه مريض جداً.	He's very ill.
ها قد أتى.	Here he comes.
هنا أم تأخذها معك؟	Here or to go?
ماذا عنك؟	How about you?
ما هو حجمها؟	How big is it?
كيف جرى الأمر؟	How did it go?
كم عمره؟	How old is he?
كيف حال الوظيفة؟	How's the job?
أضفت بعض الماء	I added water.
أنا مسلم	I am a Muslim.
أصدقك.	I believe you.
أتيت بالسيارة.	I came by car.
لا يمكنني فعل ذلك.	I can't do it.
لا أستطيع أن أفعل ذلك.	I can't do it.
هذا بسببي.	I caused this.
أنا سببّت هذا.	I caused this.
أحبك.	I do love you.
أشعر بالجوع.	I feel hungry.
أنا عطشان.	I got thirsty.
أكره القهوة.	I hate coffee.
عندي كتاب.	I have a book.
أصبت بالبرد.	I have a cold.
لدي زكام.	I have a cold.
أصبت بالزكام.	I have a cold.
لدي رشح.	I have a cold.
لدي شكوك.	I have doubts.
استيقظت للتوّ.	I just got up.
أنا أحب الفرنسية	I like French.
أحب الأفلام.	I like movies.
أحب مشاهدة الأفلام.	I like movies.
أحب الرياضة.	I like sports.
أحب ممارسة الألعاب الرياضية.	I like sports.
أحب كرة المضرب.	I like tennis.
أحب لعب التنس.	I like tennis.
خسرت وظيفتي.	I lost my job.
أضعت مفتاحي.	I lost my key.
أنا أحب الفرنسية	I love French.
أحب الأفلام.	I love movies.
أنا أحب أبي	I love my dad.
يتوجب علي الذهاب الآن.	I must go now.
أحتاج لمفتاحي.	I need my key.
أعزف الكمان.	I play violin.
رأيت شبحا.	I saw a ghost.
انا لم ارى اي شيء.	I saw nothing.
تمشّيت.	I took a walk.
أنا أستخدم برنامج فايرفوكس.	I use Firefox.
أنا أستخدم Firefox	I use Firefox.
أنا أُريد بيرة.	I want a beer.
أريد أن أموت.	I want to die.
سأحضر.	I'll be there.
سأشتري ذلك.	I'll buy this.
سأتصل بك.	I'll call you.
سآكل هنا.	I'll eat here.
سأفتقدك.	I'll miss you.
سأشتاق إليك.	I'll miss you.
سآخذه معي.	I'll take him.
أنا خجول قليلاً.	I'm a bit shy.
أنا تلميذ.	I'm a student.
أنا طالب	I'm a student.
أنا سائح.	I'm a tourist.
أنا واثق من نفسي.	I'm confident.
أنا في السيارة	I'm in my car.
أنا لستُ ذاهباً.	I'm not going.
أنا لستُ ذاهبة.	I'm not going.
أنا لست سعيداً.	I'm not happy.
أنا لستُ سعيدة.	I'm not happy.
أنا لست متعباً.	I'm not tired.
أنا شديد الملاحظة.	I'm observant.
إنني أتبع حمية.	I'm on a diet.
أنا متعب الآن.	I'm tired now.
إنني مشغول جداً.	I'm very busy.
هل هي تثلج ؟	Is it snowing?
أهذا واضح؟	Is that clear?
أذلك لك ؟	Is that yours?
هل هذا لكَ؟	Is that yours?
هل ذلك يخصك؟	Is that yours?
إنها تمطر.	It is raining.
الجو ممطر.	It is raining.
الجو حار جدا	It is too hot.
الجو حار جداً	It is too hot.
ليس ملكي.	It isn't mine.
لن يؤلم.	It won't hurt.
سيتم الامر	It'll turn up.
هل اليوم هو السبت؟	It's Saturday.
إنه سر.	It's a secret.
هذا صحيح.	It's accurate.
إنهُ مزعج.	It's annoying.
دخل الخريف.	It's fall now.
نحن في الخريف الآن.	It's fall now.
لقد تحسنت.	It's improved.
الوقت مبكر جدا.	It's so early.
انها سرقه.	It's stealing.
إنها كبيرة جداً.	It's very big.
دقيقة من فضلك.	Just a minute.
استرح الآن فحسب.	Just rest now.
دعني أراها.	Let me see it.
دعني أجربها.	Let me try it.
الحياة حلوة.	Life is sweet.
استمع إلى توم	Listen to Tom.
أغلق البوابة.	Lock the gate.
الحب أعمى.	Love is blind.
الحظ أعمى.	Luck is blind.
أسعدني.	Make me happy.
رتب سريرك.	Make your bed.
أيمكنني سؤالك عن السبب؟	May I ask why?
هل بإمكاني الدخول؟	May I come in?
هل أستطيع أن آتي؟	May I come in?
أمّي، أنا في المنزل.	Mom, I'm home.
أمّاه، أنا في المنزل.	Mom, I'm home.
أمّاه، لقد عدت إلى المنزل.	Mom, I'm home.
رأسي يؤلمني.	My head hurts.
ركبتي تؤلمني.	My knee hurts.
لا، شكراً لك.	No, thank you.
لا, شكراً لك	No, thank you.
خسر فريقنا.	Our team lost.
انتبه.	Pay attention.
أراك مجدداً.	See you again.
إلى اللقاء.	See you again.
إلى اللقاء	See you again.
إنحنت.	She bent down.
كرهته.	She hated him.
إنها تأكل.	She is eating.
إنها تحب توم.	She loves Tom.
إنها تعشق توم.	She loves Tom.
هي تحب توم	She loves Tom.
أغلق الباب.	Shut the door.
تكلم بوضوح.	Speak clearly.
استرح.	Stand at ease!
كن ايجابي	Stay positive.
كفّ عن التصفيق.	Stop clapping.
شكراً على أي حال.	Thanks anyway.
كفى.	That's enough.
هذا يكفي.	That's enough.
ذلك قطي.	That's my cat.
تلك قطتي.	That's my cat.
غادروا جميعا.	They all left.
إنهم يكرهونك.	They hate you.
هم يعرفون توم	They know Tom.
إنهم سعداء.	They're happy.
هم سعداء.	They're happy.
هذا كلب.	This is a dog.
هذا قلم.	This is a pen.
هذه نكتة.	This is a pun.
من هنا، سيدي.	This way, sir.
كان اليوم يوماً ممتعاً.	Today was fun.
توم لديه سيارة	Tom has a car.
توم لديه نقود	Tom has money.
توم غائب.	Tom is absent.
توم هو أبي	Tom is my dad.
توم معجب بكي.	Tom likes you.
طرد توم من عمله.	Tom was fired.
كان توم عاريًا.	Tom was naked.
توم كان رصيناً.	Tom was sober.
استخدم قدميك.	Use your feet.
انتظر دقيقة	Wait a minute.
انتظر لحظة.	Wait a moment.
انتظرِ قليلا.	Wait a moment.
إننا جائعون.	We are hungry.
كان لدينا شكوك.	We had doubts.
نحتاج الماء	We need water.
نحن نفهم	We understand.
نتساءل لِمَ.	We wonder why.
نحن في المنزل	We're at home.
ها قد وصلنا.	We've arrived.
لقد وصلنا.	We've arrived.
هل أصبت بعيار ناري؟	Were you shot?
يا لها من راحة	What a relief!
